,treatment
GSM4432378,Mock treated NHBE cells
GSM4432379,Mock treated NHBE cells
GSM4432380,Mock treated NHBE cells
GSM4432381,SARS-CoV-2 infected NHBE cells
GSM4432382,SARS-CoV-2 infected NHBE cells
GSM4432383,SARS-CoV-2 infected NHBE cells
GSM4432384,Mock treated A549 cells
GSM4432385,Mock treated A549 cells
GSM4432386,Mock treated A549 cells
GSM4432387,SARS-CoV-2 infected A549 cells
GSM4432388,SARS-CoV-2 infected A549 cells
GSM4432389,SARS-CoV-2 infected A549 cells
GSM4432390,Mock treated A549 cells
GSM4432391,Mock treated A549 cells
GSM4432392,RSV infected A549 cells
GSM4432393,RSV infected A549 cells
GSM4432394,Mock treated A549 cells
GSM4432395,Mock treated A549 cells
GSM4432396,IAV infected A549 cells
GSM4432397,IAV infected A549 cells
GSM4462336,Mock treated A549 cells
GSM4462337,Mock treated A549 cells
GSM4462338,Mock treated A549 cells
GSM4462339,SARS-CoV-2 infected A549 cells
GSM4462340,SARS-CoV-2 infected A549 cells
GSM4462341,SARS-CoV-2 infected A549 cells
GSM4462342,Mock treated A549 cells trasnduced with a vector expressing human ACE2
GSM4462343,Mock treated A549 cells trasnduced with a vector expressing human ACE2
GSM4462344,Mock treated A549 cells trasnduced with a vector expressing human ACE2
GSM4462345,SARS-CoV-2 infected A549 cells trasnduced with a vector expressing human ACE2
GSM4462346,SARS-CoV-2 infected A549 cells trasnduced with a vector expressing human ACE2
GSM4462347,SARS-CoV-2 infected A549 cells trasnduced with a vector expressing human ACE2
GSM4462348,Mock treated Calu-3 cells
GSM4462349,Mock treated Calu-3 cells
GSM4462350,Mock treated Calu-3 cells
GSM4462351,SARS-CoV-2 infected Calu-3 cells
GSM4462352,SARS-CoV-2 infected Calu-3 cells
GSM4462353,SARS-CoV-2 infected Calu-3 cells
GSM4462354,Mock treated A549 cells
GSM4462355,Mock treated A549 cells
GSM4462356,Mock treated A549 cells
GSM4462357,RSV infected A549 cells
GSM4462358,RSV infected A549 cells
GSM4462359,RSV infected A549 cells
GSM4462360,HPIV3 infected A549 cells
GSM4462361,HPIV3 infected A549 cells
GSM4462362,HPIV3 infected A549 cells
GSM4462363,Mock treated NHBE cells
GSM4462364,Mock treated NHBE cells
GSM4462365,Mock treated NHBE cells
GSM4462366,Mock treated NHBE cells
GSM4462367,IAV infected NHBE cells
GSM4462368,IAV infected NHBE cells
GSM4462369,IAV infected NHBE cells
GSM4462370,IAV infected NHBE cells
GSM4462371,IAVdNS1 infected NHBE cells
GSM4462372,IAVdNS1 infected NHBE cells
GSM4462373,IAVdNS1 infected NHBE cells
GSM4462374,IAVdNS1 infected NHBE cells
GSM4462375,human IFNB treated NHBE cells
GSM4462376,human IFNB treated NHBE cells
GSM4462377,human IFNB treated NHBE cells
GSM4462378,human IFNB treated NHBE cells
GSM4462379,human IFNB treated NHBE cells
GSM4462380,human IFNB treated NHBE cells
GSM4462413,Lung biopsy for heatly negative control
GSM4462414,Lung biopsy for heatly negative control
GSM4462415,Lung sample from postmortem COVID-19 patient
GSM4462416,Lung sample from postmortem COVID-19 patient
